Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25439098,Playground,Lars Kepler,"Kepler, Lars",,"=""9100141062""","=""9789100141066""",3,3.18,Albert Bonniers Förlag,Hardcover,441,2015,2015,2016/08/09,2016/08/05,,,read,,,,1,0
827,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,"=""0553380966""","=""9780553380965""",0,4.16,Spectra,Paperback,499,2000,1995,,2016/08/07,to-read,to-read (#85),to-read,,,,0,0
13722526,"The Nightmare (Joona Linna, #2)",Lars Kepler,"Kepler, Lars",Laura A. Wideburg,"=""1250024102""","=""9781250024107""",5,3.84,Picador,Paperback,528,2013,2010,,2013/08/08,,,read,,,,1,0
594288,Purely Functional Data Structures,Chris Okasaki,"Okasaki, Chris",,"=""0521663504""","=""9780521663502""",0,4.15,Cambridge University Press,Paperback,232,1999,1996,,2016/08/02,to-read,to-read (#84),to-read,,,,0,0
23602504,"Blood on Snow (Blood on Snow, #1)",Jo Nesbø,"Nesbø, Jo",Neil Smith,"=""0385354193""","=""9780385354196""",2,3.55,Knopf,Hardcover,207,2015,2014,2016/08/02,2015/05/26,,,read,,,,1,0
17214,Starship Troopers,Robert A. Heinlein,"Heinlein, Robert A.",,"=""""","=""""",3,4.01,Ace Books,Mass Market Paperback,264,1987,1959,2016/08/01,2013/09/21,,,read,,,,1,0
14817,A Scanner Darkly,Philip K. Dick,"Dick, Philip K.",,"=""057507681X""","=""9780575076815""",4,4.02,Gollancz,Paperback,219,2006,1977,2016/07/13,2014/04/13,,,read,,,,1,0
6597651,The Windup Girl,Paolo Bacigalupi,"Bacigalupi, Paolo",,"=""1597801577""","=""9781597801577""",0,3.75,Night Shade Books,Hardcover,359,2009,2009,,2016/06/17,to-read,to-read (#83),to-read,,,,0,0
6882,Papillon,Henri Charrière,"Charrière, Henri",,"=""0061120669""","=""9780061120664""",0,4.23,William Morrow Paperbacks,Paperback,544,2006,1969,,2016/05/29,to-read,to-read (#82),to-read,,,,0,0
9592,Mother Night,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334141""","=""9780385334143""",0,4.22,Dial Press,Paperback,282,1999,1961,,2016/05/27,to-read,to-read (#81),to-read,,,,0,0
222146,Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,"Kushner, David",,"=""0812972155""","=""9780812972153""",4,4.29,Random House Trade Paperbacks,Paperback,339,2004,2003,2016/05/23,2014/10/20,,,read,,,,1,0
22024583,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",0,4.26,HarperCollins ,Kindle Edition,271,2014,1960,,2016/05/19,to-read,to-read (#80),to-read,,,,0,0
4407,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,4.11,Headline Review,Paperback,635,2005,2001,,2016/05/15,to-read,to-read (#79),to-read,,,,0,0
338798,Ulysses,James Joyce,"Joyce, James","Morris L. Ernst, John M. Woolsey","=""""","=""""",0,3.75,Vintage,Paperback,783,1990,1922,,2016/04/25,to-read,to-read (#78),to-read,,,,0,0
